PM Vidyalaxmi Institutes (All),,,,
(As on Date:  9-12-2025  4:33:26),,,,
S. No.,AISHE Code,Institute Name,State Name,Management Type
1,U-0004,Acharya N G Ranga Agricultural University,Andhra Pradesh,State Government
2,U-0003,Acharya Nagarjuna University,Andhra Pradesh,State Government
3,C-32766,Acharya Nagarjuna University College of Pharmaceutical Sciences,Andhra Pradesh,State Government
4,U-0961,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI",Andhra Pradesh,Central Government
5,U-0006,Andhra University,Andhra Pradesh,State Government
6,C-24004,AU College of Engineering (A),Andhra Pradesh,State Government
7,C-24055,"AU College of Pharmaceutical Sciences, Andhra University",Andhra Pradesh,Private
8,S-19106,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY VIJAYAWADA,Andhra Pradesh,Central Government
9,U-1226,CENTRAL TRIBAL UNIVERSITY,Andhra Pradesh,Central Government
10,U-0976,CENTRAL UNIVERSITY OF ANDHRA PRADESH,Andhra Pradesh,Central Government
11,U-0002,Damodaram Sanjivayya National Law University,Andhra Pradesh,State Government
12,C-23907,Dr. B. R. Ambedkar College of Law,Andhra Pradesh,State Government
13,U-0011,Gandhi Institute of Technology and Management,Andhra Pradesh,Private
14,U-0863,"Indian Institute of Information Technology Design And Manufacturing, Kurnool",Andhra Pradesh,Central Government
15,U-0760,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, CHITTOOR",Andhra Pradesh,Central Government
16,U-1007,Indian Institute of Management Visakhapatnam,Andhra Pradesh,Central Government
17,U-0944,INDIAN INSTITUTE OF PETROLEUM & ENERGY,Andhra Pradesh,Central Government
18,U-0827,"Indian Institute of Science Education & Research (IISER), Tirupati",Andhra Pradesh,Central Government
19,U-0844,"Indian Institute of Technology, Tirupati",Andhra Pradesh,Central Government
20,S-574,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Andhra Pradesh,Central Government
21,C-61032,"INDIAN MARITIME UNIVERSITY, VISAKHAPATNAM",Andhra Pradesh,Central Government
22,U-0016,Jawaharlal Nehru Technological University,Andhra Pradesh,State Government
23,U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,Private
24,U-1111,Krea University,Andhra Pradesh,Private
25,S-19404,MSME TECHNOLOGY CENTRE,Andhra Pradesh,Central Government
26,U-1192,NATIONAL INSTITUTE OF DESIGN ANDHRA PRADESH,Andhra Pradesh,Central Government
27,U-0855,"NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH",Andhra Pradesh,Central Government
28,U-0030,"National Sanskrit University , Tirupati",Andhra Pradesh,Central Government
29,U-0627,School of Planning and Architecture Vijayawada,Andhra Pradesh,Central Government
30,C-24007,Shri Vishnu College of Pharmacy,Andhra Pradesh,Private
31,U-0034,Sri Padmavathi Mahila Visvavidyalayam,Andhra Pradesh,State Government
32,C-26904,Sri Venkateswara College of Pharmacy,Andhra Pradesh,Private
33,U-0037,Sri Venkateswara University,Andhra Pradesh,State Government
34,U-0039,Sri Venkateswara Veterinary University,Andhra Pradesh,State Government
35,U-0043,"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh,Private
36,U-0045,Yogi Vemana University,Andhra Pradesh,State Government
37,U-0615,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,Central Government
38,U-0046,"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar",Arunachal Pradesh,Central Government
39,U-0047,"Rajiv Gandhi University, Itanagar",Arunachal Pradesh,Central Government
40,U-1107,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, GUWAHATI",Assam,Central Government
41,U-0048,Assam Agricultural University,Assam,State Government
42,U-0050,"Assam University, Silchar",Assam,Central Government
43,S-681,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY:CENTRE FOR SKILLING AND TECHNICAL SUPPORT-GUWAHATI,Assam,Central Government
44,U-1067,CENTRAL INSTITUTE OF TECHNOLOGY,Assam,Central Government
45,U-0051,Dibrugarh University,Assam,State Government
46,C-17139,F.A. Ahmed College,Assam,Central Government
47,U-0052,Gauhati University,Assam,State Government
48,S-19477,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI,Assam,Central Government
49,U-0795,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI",Assam,Central Government
50,U-0053,Indian Institute of Technology Guwahati,Assam,Central Government
51,U-1045,"NATIONAL INSTITUTE OF DESIGN, ASSAM",Assam,Central Government
52,C-66301,NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY GUWAHATI,Assam,Central Government
53,U-1316,National Institute of Pharmaceutical Education and Research Guwahati,Assam,Central Government
54,U-0055,National Institute of Technology Silchar,Assam,Central Government
55,U-0677,National Law University and Judicial Academy,Assam,State Government
56,C-64696,NORTH EASTERN REGIONAL INSTITUTE OF WATER AND LAND MANAGEMENT,Assam,Central Government
57,U-0056,"Tezpur University, Tezpur",Assam,Central Government
58,U-0686,All India Institute of Medical Sciences Patna,Bihar,Central Government
59,U-0060,Bihar Agriculture University,Bihar,State Government
60,U-0062,Central University of South Bihar,Bihar,Central Government
61,U-0063,Chanakya National Law University,Bihar,State Government
62,S-40,Chandragupt Institute of Management Patna,Bihar,State Government
63,C-10243,"College of Agricultural Engineering,Pusa",Bihar,Central Government
64,U-0075,Dr Rajendra Prasad Central Agricultural University,Bihar,Central Government
65,C-69114,EMPLOYEES STATE INSURANCE MEDICAL COLLEGE,Bihar,Central Government
66,U-0953,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,Bihar,Central Government
67,U-1006,Indian Institute of Management Bodh Gaya,Bihar,Central Government
68,U-0064,Indian Institute of Technology Patna,Bihar,Central Government
69,U-0835,"Mahatma Gandhi Central University, Motihari",Bihar,Central Government
70,U-0710,NALANDA UNIVERSITY,Bihar,Central Government
71,C-47479,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, PATNA",Bihar,Central Government
